name,info,price,seller,locality,link
"Volkswagen Scirocco, 1.4 TSI, Serv.kniha","2011, 166 550 km , Benzín , Manuální",130 000 Kč,AAA AUTO,Hlavní město Praha,https://www.sauto.cz/osobni/detail/volkswagen/scirocco/210592052
"Volkswagen Scirocco, 1.4 TSI","2009, 139 000 km , Benzín , Manuální",130 000 Kč,Autobazar Uhlík,Karviná,https://www.sauto.cz/osobni/detail/volkswagen/scirocco/209264055
"Volkswagen Scirocco, 1,4TSi TOP STAV","2009, 175 000 km , Benzín , Manuální",144 500 Kč,KUPSIAUTO,České Budějovice,https://www.sauto.cz/osobni/detail/volkswagen/scirocco/206815287
"Volkswagen Scirocco, 1.4 TSI 90kW","2009, 196 398 km , Benzín , Manuální",149 000 Kč,AUTOLET,Nový Jičín,https://www.sauto.cz/osobni/detail/volkswagen/scirocco/210812693
"Volkswagen Scirocco, 1.4 TSI, Automatická klima","2011, 186 025 km , Benzín , Manuální",150 000 Kč,AAA AUTO,Hlavní město Praha,https://www.sauto.cz/osobni/detail/volkswagen/scirocco/210683693
"Volkswagen Scirocco, 1.8i GTX- EKO DAŇ ZAPLACENA","1991, 80 000 km , Benzín , Manuální",158 000 Kč,Autobazar AUTOMEX,Mladá Boleslav,https://www.sauto.cz/osobni/detail/volkswagen/scirocco/210783467
"Volkswagen Scirocco, 1.4 TSi,Sport","2009, 165 298 km , Benzín , Manuální",158 000 Kč,Auto ESA,Hlavní město Praha,https://www.sauto.cz/osobni/detail/volkswagen/scirocco/210579701
"Volkswagen Scirocco, 2.0 TDI DSG SPORT 125KW","2010, 190 487 km , Nafta , Automatická",199 000 Kč,AUTOJAN,Náchod,https://www.sauto.cz/osobni/detail/volkswagen/scirocco/210515243
"Volkswagen Scirocco, 1,4TSi-Velký.servis-záruka!!","2009, 173 000 km , Benzín , Manuální",164 000 Kč,"AUTOTREND CR, s.r.o.",Chrudim,https://www.sauto.cz/osobni/detail/volkswagen/scirocco/210207401
"Volkswagen Scirocco, 1.4 TSI 118 kW Sport","2008, 136 840 km , Benzín , Manuální",174 900 Kč,Direct auto I Zánovní a ojetá auta,Hlavní město Praha,https://www.sauto.cz/osobni/detail/volkswagen/scirocco/210829739
